"#総ステージ数",,,,
5,,,,
"#ステージ","登場敵","カード数",,
0,"Chirno",3,1,
"#使用カードEASY","使用カードNOR","使用カードHARD","使用カードLUNA",
248,248,248,248,0
0,1,2,3,1
4,5,6,7,2
"#ステージ","登場敵",,,
1,"Meirin",3,1,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,2
"#ステージ","登場敵",,,
2,"Reimu",4,2,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,1
8,9,10,11,2
"#ステージ","登場敵",,,
3,"Utsuho",5,2,
248,248,248,248,0
0,1,2,3,10
4,5,6,7,1
8,9,10,11,1
12,13,14,15,2
"#ステージ","登場敵",,,
4,"Suwako",6,3,
248,248,248,248,0
0,1,2,3,1
4,5,6,7,1
8,9,10,11,1
12,13,14,15,2
16,17,18,19,5
